link,name,state,chamber,party,raised,spent,cash_on_hand,debts,top_industry,top_contributor,top_industry_number,top_contributor_number,all_industries,all_contributors,funding_type,total_vs_avg_raised,first_election,election_type,election_year
https://www.opensecrets.org/members-of-congress/adams-alma/summary?cid=N00035451&cycle=2024,Alma Adams,North Carolina,House,Democrat,714938,684971,573409,0,Commercial Banks,Duke Energy,"$48,245","$10,350","[{'industry': 'Commercial Banks', 'total': '$48,245', 'individuals': '$3,745', 'pacs': '$44,500'}, {'industry': 'Public Sector Unions', 'total': '$44,000', 'individuals': '$1,000', 'pacs': '$43,000'}, {'industry': 'Building Trade Unions', 'total': '$40,500', 'individuals': '$0', 'pacs': '$40,500'}, {'industry': 'Insurance', 'total': '$36,980', 'individuals': '$980', 'pacs': '$36,000'}, {'industry': 'Health Professionals', 'total': '$32,720', 'individuals': '$7,220', 'pacs': '$25,500'}]","[{'contributor': 'Duke Energy', 'total': '$10,350', 'individuals': '$350', 'pacs': '$10,000'}, {'contributor': 'American Crystal Sugar', 'total': '$10,000', 'individuals': '$0', 'pacs': '$10,000'}, {'contributor': 'American Federation of State/Cnty/Munic Employees', 'total': '$10,000', 'individuals': '$0', 'pacs': '$10,000'}, {'contributor': 'American Federation of Teachers', 'total': '$10,000', 'individuals': '$0', 'pacs': '$10,000'}, {'contributor': 'Blue Cross & Blue Shield Assn', 'total': '$10,000', 'individuals': '$0', 'pacs': '$10,000'}]","[{'contribution_type': 'pac_contributions', 'contribution_amount': 516244, 'contribution_percent': 72}, {'contribution_type': 'large_individual_contributions', 'contribution_amount': 164760, 'contribution_percent': 23}, {'contribution_type': 'small_individual_contributions_200', 'contribution_amount': 34494, 'contribution_percent': 4}, {'contribution_type': 'candidate_selffinancing', 'contribution_amount': 0, 'contribution_percent': 0}, {'contribution_type': 'other', 'contribution_amount': -560, 'contribution_percent': 0}]","[{'year': 2014, 'total_raised_by_congressman': 766900, 'average_raised': 1720000}, {'year': 2016, 'total_raised_by_congressman': 922090, 'average_raised': 1750000}, {'year': 2018, 'total_raised_by_congressman': 589690, 'average_raised': 2190000}, {'year': 2020, 'total_raised_by_congressman': 824120, 'average_raised': 2640000}, {'year': 2022, 'total_raised_by_congressman': 947660, 'average_raised': 3060000}, {'year': 2024, 'total_raised_by_congressman': 714940, 'average_raised': 3310000}]",2014,Next Election,2024
https://www.opensecrets.org/members-of-congress/aderholt-robert-b/summary?cid=N00003028&cycle=2024,Robert B Aderholt,Alabama,House,Republican,1470649,1663198,966896,0,Misc Defense,American Israel Public Affairs Cmte,"$141,034","$34,804","[{'industry': 'Misc Defense', 'total': '$141,034', 'individuals': '$69,034', 'pacs': '$72,000'}, {'industry': 'Defense Aerospace', 'total': '$70,900', 'individuals': '$26,400', 'pacs': '$44,500'}, {'industry': 'Lawyers/Law Firms', 'total': '$66,452', 'individuals': '$23,952', 'pacs': '$42,500'}, {'industry': 'Lobbyists', 'total': '$61,625', 'individuals': '$61,625', 'pacs': '$0'}, {'industry': 'Retired', 'total': '$54,247', 'individuals': '$54,247', 'pacs': '$0'}]","[{'contributor': 'American Israel Public Affairs Cmte', 'total': '$34,804', 'individuals': '$29,804', 'pacs': '$5,000'}, {'contributor': 'Eo Solutions', 'total': '$26,400', 'individuals': '$26,400', 'pacs': '$0'}, {'contributor': 'Trideum Corp', 'total': '$18,200', 'individuals': '$18,200', 'pacs': '$0'}, {'contributor': 'Drummond Co', 'total': '$16,492', 'individuals': '$6,492', 'pacs': '$10,000'}, {'contributor': 'Protective Life Corp', 'total': '$13,300', 'individuals': '$3,300', 'pacs': '$10,000'}]","[{'contribution_type': 'pac_contributions', 'contribution_amount': 795500, 'contribution_percent': 54}, {'contribution_type': 'large_individual_contributions', 'contribution_amount': 611924, 'contribution_percent': 41}, {'contribution_type': 'other', 'contribution_amount': 39797, 'contribution_percent': 2}, {'contribution_type': 'small_individual_contributions_200', 'contribution_amount': 23428, 'contribution_percent': 1}, {'contribution_type': 'candidate_selffinancing', 'contribution_amount': 0, 'contribution_percent': 0}]","[{'year': 1996, 'total_raised_by_congressman': 759350, 'average_raised': 747230}, {'year': 1998, 'total_raised_by_congressman': 1510000, 'average_raised': 890710}, {'year': 2000, 'total_raised_by_congressman': 1640000, 'average_raised': 1010000}, {'year': 2002, 'total_raised_by_congressman': 712480, 'average_raised': 980640}, {'year': 2004, 'total_raised_by_congressman': 748910, 'average_raised': 1200000}, {'year': 2006, 'total_raised_by_congressman': 715800, 'average_raised': 1360000}, {'year': 2008, 'total_raised_by_congressman': 666970, 'average_raised': 1430000}, {'year': 2010, 'total_raised_by_congressman': 828590, 'average_raised': 1620000}, {'year': 2012, 'total_raised_by_congressman': 1250000, 'average_raised': 1760000}, {'year': 2014, 'total_raised_by_congressman': 1180000, 'average_raised': 1720000}, {'year': 2016, 'total_raised_by_congressman': 1430000, 'average_raised': 1750000}, {'year': 2018, 'total_raised_by_congressman': 1550000, 'average_raised': 2190000}, {'year': 2020, 'total_raised_by_congressman': 1260000, 'average_raised': 2640000}, {'year': 2022, 'total_raised_by_congressman': 1540000, 'average_raised': 3060000}, {'year': 2024, 'total_raised_by_congressman': 1470000, 'average_raised': 3310000}]",1996,Next Election,2024
https://www.opensecrets.org/members-of-congress/aguilar-pete/summary?cid=N00033997&cycle=2024,Pete Aguilar,California,House,Democrat,5808795,4739480,2649071,0,Pro-Israel,American Israel Public Affairs Cmte,"$673,463","$620,898","[{'industry': 'Pro-Israel', 'total': '$673,463', 'individuals': '$652,963', 'pacs': '$20,500'}, {'industry': 'Lawyers/Law Firms', 'total': '$282,268', 'individuals': '$207,518', 'pacs': '$74,750'}, {'industry': 'Lobbyists', 'total': '$270,227', 'individuals': '$270,227', 'pacs': '$0'}, {'industry': 'Securities & Investment', 'total': '$269,481', 'individuals': '$154,981', 'pacs': '$114,500'}, {'industry': 'Real Estate', 'total': '$242,608', 'individuals': '$168,108', 'pacs': '$74,500'}]","[{'contributor': 'American Israel Public Affairs Cmte', 'total': '$620,898', 'individuals': '$610,898', 'pacs': '$10,000'}, {'contributor': 'Wells Fargo', 'total': '$48,018', 'individuals': '$38,018', 'pacs': '$10,000'}, {'contributor': 'General Atomics', 'total': '$42,600', 'individuals': '$32,600', 'pacs': '$10,000'}, {'contributor': 'JStreetPAC', 'total': '$39,350', 'individuals': '$35,850', 'pacs': '$3,500'}, {'contributor': 'DaVita Inc', 'total': '$36,800', 'individuals': '$26,800', 'pacs': '$10,000'}]","[{'contribution_type': 'pac_contributions', 'contribution_amount': 2514458, 'contribution_percent': 43}, {'contribution_type': 'large_individual_contributions', 'contribution_amount': 2215334, 'contribution_percent': 38}, {'contribution_type': 'other', 'contribution_amount': 855113, 'contribution_percent': 14}, {'contribution_type': 'small_individual_contributions_200', 'contribution_amount': 223890, 'contribution_percent': 3}, {'contribution_type': 'candidate_selffinancing', 'contribution_amount': 0, 'contribution_percent': 0}]","[{'year': 2012, 'total_raised_by_congressman': 461840, 'average_raised': 1760000}, {'year': 2014, 'total_raised_by_congressman': 2230000, 'average_raised': 1720000}, {'year': 2016, 'total_raised_by_congressman': 2890000, 'average_raised': 1750000}, {'year': 2018, 'total_raised_by_congressman': 2720000, 'average_raised': 2190000}, {'year': 2020, 'total_raised_by_congressman': 2480000, 'average_raised': 2640000}, {'year': 2022, 'total_raised_by_congressman': 3200000, 'average_raised': 3060000}, {'year': 2024, 'total_raised_by_congressman': 5810000, 'average_raised': 3310000}]",2014,Next Election,2024
https://www.opensecrets.org/members-of-congress/alford-mark/summary?cid=N00049617&cycle=2024,Mark Alford,Missouri,House,Republican,1303886,1140087,217408,0,Retired,Plz Aeroscience,"$91,292","$26,400","[{'industry': 'Retired', 'total': '$91,292', 'individuals': '$91,292', 'pacs': '$0'}, {'industry': 'Crop Production & Basic Processing', 'total': '$82,825', 'individuals': '$6,775', 'pacs': '$76,050'}, {'industry': 'Leadership PACs', 'total': '$57,769', 'individuals': '$0', 'pacs': '$57,769'}, {'industry': 'Agricultural Services/Products', 'total': '$54,350', 'individuals': '$2,000', 'pacs': '$52,350'}, {'industry': 'Securities & Investment', 'total': '$53,000', 'individuals': '$37,500', 'pacs': '$15,500'}]","[{'contributor': 'Plz Aeroscience', 'total': '$26,400', 'individuals': '$26,400', 'pacs': '$0'}, {'contributor': 'Ward Enterprises (Kansas)', 'total': '$26,400', 'individuals': '$26,400', 'pacs': '$0'}, {'contributor': 'Max Motors', 'total': '$21,800', 'individuals': '$21,800', 'pacs': '$0'}, {'contributor': 'Rmjk Enterprises', 'total': '$21,800', 'individuals': '$21,800', 'pacs': '$0'}, {'contributor': 'Poet LLC', 'total': '$16,600', 'individuals': '$6,600', 'pacs': '$10,000'}]","[{'contribution_type': 'pac_contributions', 'contribution_amount': 594939, 'contribution_percent': 45}, {'contribution_type': 'large_individual_contributions', 'contribution_amount': 566512, 'contribution_percent': 43}, {'contribution_type': 'other', 'contribution_amount': 106274, 'contribution_percent': 8}, {'contribution_type': 'small_individual_contributions_200', 'contribution_amount': 36162, 'contribution_percent': 2}, {'contribution_type': 'candidate_selffinancing', 'contribution_amount': 0, 'contribution_percent': 0}]","[{'year': 2022, 'total_raised_by_congressman': 1040000, 'average_raised': 3060000}, {'year': 2024, 'total_raised_by_congressman': 1300000, 'average_raised': 3310000}]",2022,Next Election,2024
https://www.opensecrets.org/members-of-congress/allen-richard-w/summary?cid=N00033720&cycle=2024,Richard W Allen,Georgia,House,Republican,1217539,901827,1174956,1639945,Retired,American Israel Public Affairs Cmte,"$96,386","$25,550","[{'industry': 'Retired', 'total': '$96,386', 'individuals': '$96,386', 'pacs': '$0'}, {'industry': 'Crop Production & Basic Processing', 'total': '$58,000', 'individuals': '$17,000', 'pacs': '$41,000'}, {'industry': 'Insurance', 'total': '$52,150', 'individuals': '$4,150', 'pacs': '$48,000'}, {'industry': 'Telecom Services', 'total': '$49,500', 'individuals': '$1,000', 'pacs': '$48,500'}, {'industry': 'Health Professionals', 'total': '$49,078', 'individuals': '$28,354', 'pacs': '$20,724'}]","[{'contributor': 'American Israel Public Affairs Cmte', 'total': '$25,550', 'individuals': '$15,550', 'pacs': '$10,000'}, {'contributor': 'Pollard Lumber', 'total': '$15,200', 'individuals': '$15,200', 'pacs': '$0'}, {'contributor': 'Yancey Brothers', 'total': '$13,200', 'individuals': '$13,200', 'pacs': '$0'}, {'contributor': 'Coca-Cola Co', 'total': '$12,000', 'individuals': '$2,000', 'pacs': '$10,000'}, {'contributor': 'Comcast Corp', 'total': '$11,000', 'individuals': '$1,000', 'pacs': '$10,000'}]","[{'contribution_type': 'pac_contributions', 'contribution_amount': 594650, 'contribution_percent': 48}, {'contribution_type': 'large_individual_contributions', 'contribution_amount': 592305, 'contribution_percent': 48}, {'contribution_type': 'small_individual_contributions_200', 'contribution_amount': 34588, 'contribution_percent': 2}, {'contribution_type': 'candidate_selffinancing', 'contribution_amount': 0, 'contribution_percent': 0}, {'contribution_type': 'other', 'contribution_amount': -4003, 'contribution_percent': 0}]","[{'year': 2012, 'total_raised_by_congressman': 1130000, 'average_raised': 1760000}, {'year': 2014, 'total_raised_by_congressman': 2540000, 'average_raised': 1720000}, {'year': 2016, 'total_raised_by_congressman': 1140000, 'average_raised': 1750000}, {'year': 2018, 'total_raised_by_congressman': 1120000, 'average_raised': 2190000}, {'year': 2020, 'total_raised_by_congressman': 1230000, 'average_raised': 2640000}, {'year': 2022, 'total_raised_by_congressman': 990680, 'average_raised': 3060000}, {'year': 2024, 'total_raised_by_congressman': 1220000, 'average_raised': 3310000}]",2014,Next Election,2024
https://www.opensecrets.org/members-of-congress/allred-colin/summary?cid=N00040989&cycle=2024,Colin Allred,Texas,House,Democrat,92580216,92436082,144134,0,Retired,JStreetPAC,"$14,066,440","$220,564","[{'industry': 'Retired', 'total': '$14,066,440', 'individuals': '$14,066,440', 'pacs': '$0'}, {'industry': 'Lawyers/Law Firms', 'total': '$3,624,413', 'individuals': '$3,595,913', 'pacs': '$28,500'}, {'industry': 'Education', 'total': '$2,563,430', 'individuals': '$2,563,430', 'pacs': '$0'}, {'industry': 'Health Professionals', 'total': '$1,912,952', 'individuals': '$1,906,952', 'pacs': '$6,000'}, {'industry': 'Democratic/Liberal', 'total': '$1,677,309', 'individuals': '$1,604,360', 'pacs': '$72,949'}]","[{'contributor': 'JStreetPAC', 'total': '$220,564', 'individuals': '$218,151', 'pacs': '$2,413'}, {'contributor': 'University of Texas/Southwestern Medical Center', 'total': '$130,525', 'individuals': '$130,525', 'pacs': '$0'}, {'contributor': 'University of Texas', 'total': '$95,873', 'individuals': '$95,873', 'pacs': '$0'}, {'contributor': 'Google Inc', 'total': '$87,122', 'individuals': '$87,122', 'pacs': '$0'}, {'contributor': 'American Airlines', 'total': '$73,098', 'individuals': '$73,098', 'pacs': '$0'}]","[{'contribution_type': 'large_individual_contributions', 'contribution_amount': 44069814, 'contribution_percent': 47}, {'contribution_type': 'small_individual_contributions_200', 'contribution_amount': 41272085, 'contribution_percent': 44}, {'contribution_type': 'other', 'contribution_amount': 6274227, 'contribution_percent': 6}, {'contribution_type': 'pac_contributions', 'contribution_amount': 964090, 'contribution_percent': 1}, {'contribution_type': 'candidate_selffinancing', 'contribution_amount': 0, 'contribution_percent': 0}]","[{'year': 2018, 'total_raised_by_congressman': 5850000, 'average_raised': 2190000}, {'year': 2020, 'total_raised_by_congressman': 5670000, 'average_raised': 2640000}, {'year': 2022, 'total_raised_by_congressman': 3390000, 'average_raised': 3060000}, {'year': 2024, 'total_raised_by_congressman': 92580000, 'average_raised': 3310000}]",2018,,
https://www.opensecrets.org/members-of-congress/amo-gabe/summary?cid=N00052615&cycle=2024,Gabe Amo,Rhode Island,House,Democrat,2567783,1633136,934647,0,Lawyers/Law Firms,American Israel Public Affairs Cmte,"$169,349","$82,963","[{'industry': 'Lawyers/Law Firms', 'total': '$169,349', 'individuals': '$142,099', 'pacs': '$27,250'}, {'industry': 'Lobbyists', 'total': '$157,645', 'individuals': '$156,645', 'pacs': '$1,000'}, {'industry': 'Securities & Investment', 'total': '$144,134', 'individuals': '$127,634', 'pacs': '$16,500'}, {'industry': 'Democratic/Liberal', 'total': '$124,451', 'individuals': '$108,451', 'pacs': '$16,000'}, {'industry': 'Leadership PACs', 'total': '$102,950', 'individuals': '$0', 'pacs': '$102,950'}]","[{'contributor': 'American Israel Public Affairs Cmte', 'total': '$82,963', 'individuals': '$67,963', 'pacs': '$15,000'}, {'contributor': 'Operating Engineers Local 57', 'total': '$16,000', 'individuals': '$0', 'pacs': '$16,000'}, {'contributor': 'Cornish Assoc', 'total': '$15,900', 'individuals': '$15,900', 'pacs': '$0'}, {'contributor': 'Capitol City Group', 'total': '$15,350', 'individuals': '$15,350', 'pacs': '$0'}, {'contributor': 'CB Utility Co', 'total': '$15,350', 'individuals': '$15,350', 'pacs': '$0'}]","[{'contribution_type': 'large_individual_contributions', 'contribution_amount': 1756163, 'contribution_percent': 68}, {'contribution_type': 'pac_contributions', 'contribution_amount': 675563, 'contribution_percent': 26}, {'contribution_type': 'small_individual_contributions_200', 'contribution_amount': 139662, 'contribution_percent': 5}, {'contribution_type': 'candidate_selffinancing', 'contribution_amount': 0, 'contribution_percent': 0}, {'contribution_type': 'other', 'contribution_amount': -3603, 'contribution_percent': 0}]","[{'year': 2024, 'total_raised_by_congressman': 2570000, 'average_raised': 3310000}]",2023,Next Election,2024
https://www.opensecrets.org/members-of-congress/amodei-mark/summary?cid=N00031177&cycle=2024,Mark Amodei,Nevada,House,Republican,1277055,1195668,361040,9000,Casinos/Gambling,Sierra Nevada Corp,"$76,700","$20,900","[{'industry': 'Casinos/Gambling', 'total': '$76,700', 'individuals': '$48,700', 'pacs': '$28,000'}, {'industry': 'Securities & Investment', 'total': '$66,900', 'individuals': '$65,900', 'pacs': '$1,000'}, {'industry': 'Retired', 'total': '$61,800', 'individuals': '$61,800', 'pacs': '$0'}, {'industry': 'Lobbyists', 'total': '$53,450', 'individuals': '$51,450', 'pacs': '$2,000'}, {'industry': 'Defense Aerospace', 'total': '$48,400', 'individuals': '$10,900', 'pacs': '$37,500'}]","[{'contributor': 'Sierra Nevada Corp', 'total': '$20,900', 'individuals': '$10,900', 'pacs': '$10,000'}, {'contributor': 'Meruelo Group', 'total': '$19,800', 'individuals': '$19,800', 'pacs': '$0'}, {'contributor': 'American Israel Public Affairs Cmte', 'total': '$13,750', 'individuals': '$3,750', 'pacs': '$10,000'}, {'contributor': 'Kerrigan Advisors', 'total': '$13,200', 'individuals': '$13,200', 'pacs': '$0'}, {'contributor': 'South Point Hotel & Casino', 'total': '$13,200', 'individuals': '$13,200', 'pacs': '$0'}]","[{'contribution_type': 'large_individual_contributions', 'contribution_amount': 675312, 'contribution_percent': 52}, {'contribution_type': 'pac_contributions', 'contribution_amount': 551600, 'contribution_percent': 43}, {'contribution_type': 'other', 'contribution_amount': 44618, 'contribution_percent': 3}, {'contribution_type': 'small_individual_contributions_200', 'contribution_amount': 5525, 'contribution_percent': 0}, {'contribution_type': 'candidate_selffinancing', 'contribution_amount': 0, 'contribution_percent': 0}]","[{'year': 2010, 'total_raised_by_congressman': 87180, 'average_raised': 1620000}, {'year': 2012, 'total_raised_by_congressman': 1310000, 'average_raised': 1760000}, {'year': 2014, 'total_raised_by_congressman': 705030, 'average_raised': 1720000}, {'year': 2016, 'total_raised_by_congressman': 851510, 'average_raised': 1750000}, {'year': 2018, 'total_raised_by_congressman': 1210000, 'average_raised': 2190000}, {'year': 2020, 'total_raised_by_congressman': 1050000, 'average_raised': 2640000}, {'year': 2022, 'total_raised_by_congressman': 1190000, 'average_raised': 3060000}, {'year': 2024, 'total_raised_by_congressman': 1280000, 'average_raised': 3310000}]",2011,Next Election,2024
https://www.opensecrets.org/members-of-congress/armstrong-kelly/summary?cid=N00042868&cycle=2024,Kelly Armstrong,North Dakota,House,Republican,661893,939157,0,0,,,,,[],[],"[{'contribution_type': 'pac_contributions', 'contribution_amount': 591731, 'contribution_percent': 70}, {'contribution_type': 'large_individual_contributions', 'contribution_amount': 245475, 'contribution_percent': 29}, {'contribution_type': 'small_individual_contributions_200', 'contribution_amount': 3519, 'contribution_percent': 0}, {'contribution_type': 'candidate_selffinancing', 'contribution_amount': 0, 'contribution_percent': 0}, {'contribution_type': 'other', 'contribution_amount': -178832, 'contribution_percent': -21}]","[{'year': 2018, 'total_raised_by_congressman': 1770000, 'average_raised': 2190000}, {'year': 2020, 'total_raised_by_congressman': 1270000, 'average_raised': 2640000}, {'year': 2022, 'total_raised_by_congressman': 2069999, 'average_raised': 3060000}, {'year': 2024, 'total_raised_by_congressman': 661890, 'average_raised': 3310000}]",2018,,
https://www.opensecrets.org/members-of-congress/arrington-jodey/summary?cid=N00038285&cycle=2024,Jodey Arrington,Texas,House,Republican,3247143,2684278,1884196,0,Oil & Gas,Grail Inc,"$207,096","$33,200","[{'industry': 'Oil & Gas', 'total': '$207,096', 'individuals': '$70,796', 'pacs': '$136,300'}, {'industry': 'Securities & Investment', 'total': '$205,000', 'individuals': '$121,000', 'pacs': '$84,000'}, {'industry': 'Real Estate', 'total': '$198,567', 'individuals': '$135,067', 'pacs': '$63,500'}, {'industry': 'Crop Production & Basic Processing', 'total': '$163,200', 'individuals': '$84,900', 'pacs': '$78,300'}, {'industry': 'Retired', 'total': '$160,285', 'individuals': '$160,285', 'pacs': '$0'}]","[{'contributor': 'Grail Inc', 'total': '$33,200', 'individuals': '$23,200', 'pacs': '$10,000'}, {'contributor': 'Charter Brokerage LLC', 'total': '$28,800', 'individuals': '$28,800', 'pacs': '$0'}, {'contributor': 'American Israel Public Affairs Cmte', 'total': '$22,358', 'individuals': '$12,358', 'pacs': '$10,000'}, {'contributor': 'Simflo', 'total': '$19,800', 'individuals': '$19,800', 'pacs': '$0'}, {'contributor': 'Madera Residential', 'total': '$15,650', 'individuals': '$15,650', 'pacs': '$0'}]","[{'contribution_type': 'pac_contributions', 'contribution_amount': 1566091, 'contribution_percent': 48}, {'contribution_type': 'other', 'contribution_amount': 1126558, 'contribution_percent': 34}, {'contribution_type': 'large_individual_contributions', 'contribution_amount': 538360, 'contribution_percent': 16}, {'contribution_type': 'small_individual_contributions_200', 'contribution_amount': 16135, 'contribution_percent': 0}, {'contribution_type': 'candidate_selffinancing', 'contribution_amount': 0, 'contribution_percent': 0}]","[{'year': 2016, 'total_raised_by_congressman': 1560000, 'average_raised': 1750000}, {'year': 2018, 'total_raised_by_congressman': 1360000, 'average_raised': 2190000}, {'year': 2020, 'total_raised_by_congressman': 2500000, 'average_raised': 2640000}, {'year': 2022, 'total_raised_by_congressman': 2060000, 'average_raised': 3060000}, {'year': 2024, 'total_raised_by_congressman': 3250000, 'average_raised': 3310000}]",2016,Next Election,2024
